"key","message","comment","context"
"When this checkbox is true: will set field 'To invoice' as true by default on all purchases orders associated to the project.",,,
"When this checkbox is true: will set field 'To invoice' as true by default on all timesheets associated to the project.",,,
"Wiki",,,
"With percentage",,,
"With price list",,,
"Workflow management",,,
"You can either generate an empty project, a project with sub-projects or a project with tasks. When generating sub-projects or tasks, one element will be created for each sale order line with a service-type product that has ""Produce"" as its supply method (Configuration tab). Subtasks models are filled in the Product form when the corresponding configuration is active in Business Project module configuration.","Vous pouvez générer un projet vide, un projet avec des sous-projets ou un projet avec des tâches. Pour la génération de sous-projets ou de tâches, un élément sera créé pour chaque ligne de commande avec un produit de type ""Prestation"" et un mode d'approvisionnement ""Produire"" (onglet Configuration). Les modèles de sous-tâches sont renseignés sur la fiche Produit quand la configuration correspondante est activée dans la configuration du module Gestion à l'affaire.",,
"You can not close this project :","Vous ne pouvez pas clore le projet :",,
"You can't fill a project with the strategy Project Alone.","Vous ne pouvez pas remplir un projet avec la stratégie Projet seul",,
"You haven't select a company on the main project","Vous n'avez pas sélectionné de compagnie sur le projet racine",,
"You haven't select a product to invoice for the task %s","Vous n'avez pas sélectionné de produit de facturation pour la tâche %s",,
"You haven't select any element to invoice","Vous n'avez sélectionné aucun élément à facturer",,
"You must add a sale order template","Merci de rentrer un modèle de devis",,
"You must select a project/task","Veuillez sélectionner un(e) projet/tâche",,
"com.axelor.apps.businessproject.service.batch.BusinessProjectBatchService",,,
"value:Canceled",,,
"value:Done paid",,,
"value:Job costing",,,
"week",,,
